Symbol;ISIN;Description;Region;Classification;Curr;Type;Start
T0570R;CH0019122354;DJS TMI Oil Eq [0570] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T0570V;CH0019122388;DJS TMI Oil Eq [0570] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T3760L;CH0019123717;DJS TMI Pers Gds [3760] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T3760P;CH0019123709;DJS TMI Pers Gds [3760] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T3760R;CH0019123741;DJS TMI Pers Gds [3760] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T3760V;CH0019123766;DJS TMI Pers Gds [3760] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T4570L;CH0019124046;DJS TMI Pharm&Bio [4570] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T4570P;CH0019124012;DJS TMI Pharm&Bio [4570] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T4570R;CH0019124061;DJS TMI Pharm&Bio [4570] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T4570V;CH0019124103;DJS TMI Pharm&Bio [4570] USD (Return);Europe;Sector;USD;Return;20-Sep-04
T8630P;CH0043942470;DJS TMI Rea Es IS [8630] EUR (Price);Europe;Sector;EUR;Price;22-Sep-08
T8630R;CH0043942488;DJS TMI Rea Es IS [8630] EUR (Return);Europe;Sector;EUR;Return;22-Sep-08
T8630L;CH0043942496;DJS TMI Rea Es IS [8630] USD (Price);Europe;Sector;USD;Price;22-Sep-08
T8630V;CH0043942504;DJS TMI Rea Es IS [8630] USD (Return);Europe;Sector;USD;Return;22-Sep-08
T8670P;CH0043942405;DJS TMI REITS [8670] EUR (Price);Europe;Sector;EUR;Price;22-Sep-08
T8670R;CH0043942421;DJS TMI REITS [8670] EUR (Return);Europe;Sector;EUR;Return;22-Sep-08
T8670L;CH0043942454;DJS TMI REITS [8670] USD (Price);Europe;Sector;USD;Price;22-Sep-08
T8670V;CH0043942462;DJS TMI REITS [8670] USD (Return);Europe;Sector;USD;Return;22-Sep-08
T9530L;CH0019125001;DJS TMI Sw&Svcs [9530] USD (Price);Europe;Sector;USD;Price;20-Sep-04
T9530P;CH0019124947;DJS TMI Sw&Svcs [9530] EUR (Price);Europe;Sector;EUR;Price;20-Sep-04
T9530R;CH0019125050;DJS TMI Sw&Svcs [9530] EUR (Return);Europe;Sector;EUR;Return;20-Sep-04
T9530V;CH0019125084;DJS TMI Sw&Svcs [9530] USD (Return);Europe;Sector;USD;Return;20-Sep-04
SXLSVC;CH0004117419;DJS TMI Supp Svcs [2790] USD (Price);Europe;Sector;USD;Price;01-Apr-99
SXPSVC;CH0004117260;DJS TMI Supp Svcs [2790] EUR (Price);Europe;Sector;EUR;Price;01-Apr-99
SXRSVC;CH0004117435;DJS TMI Supp Svcs [2790] EUR (Return);Europe;Sector;EUR;Return;01-Apr-99
SXVSVC;CH0004117658;DJS TMI Supp Svcs [2790] USD (Return);Europe;Sector;USD;Return;01-Apr-99
